product_name,product_image,category
Ορθογώνιο Τραπεζάκι Σαλονιού Bromelya Γυάλινο Διάφανο 1τμχ Μ130xΠ70xΥ45εκ.,https://d.scdn.gr/images/sku_main_images/020756/20756386/fixedratio_20191030132537_bromelya_130x70.jpeg,small_table
Ορθογώνιο Βοηθητικό Τραπεζάκι Mathraki Ξύλινο Wenge 1τμχ Μ60xΠ20xΥ60εκ.,https://c.scdn.gr/images/sku_main_images/037996/37996574/fixedratio_20220909133532_orthogonio_voithitiko_trapezaki_akris_mathraki_xylino_wenge_14410194_m60xp20xy60ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Γυάλινο Διάφανο 1τμχ Μ75xΠ45xΥ41εκ.,https://b.scdn.gr/images/sku_main_images/010776/10776019/fixedratio_20210219115636_trapezaki_saloniou_orthogonio_diafano_hm0087.jpeg,small_table
Στρογγυλό Σετ Ζιγκόν October Μεταλλικό Μαύρο 2τμχ Μ70xΠ70xΥ50εκ.,https://a.scdn.gr/images/sku_main_images/038507/38507855/fixedratio_20221227131337_strogylo_set_zigon_october_metalliko_mayro_120_000348_m70xp70xy50ek.jpeg,small_table
Τετράγωνο Βοηθητικό Τραπεζάκι Ξύλινο Φυσικό 2τμχ Μ40xΠ40xΥ50εκ.,https://d.scdn.gr/images/sku_main_images/024463/24463027/fixedratio_20200821113755_voithitiko_trapezaki_tetragono_s_2_let24x.jpeg,small_table
Ορθογώνιο Σετ Ζιγκόν Glasser Γυάλινο Διάφανο 3τμχ Μ90xΠ50xΥ38εκ.,https://c.scdn.gr/images/sku_main_images/010661/10661337/fixedratio_20200316153006_set_zigon_glasser_orthogonio_diafano_em733.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Glasser Clear Γυάλινο Διάφανο 1τμχ Μ100xΠ50xΥ43εκ.,https://b.scdn.gr/images/sku_main_images/010658/10658237/fixedratio_20211018100539_trapezaki_saloniou_glasser_clear_orthogonio_em731_100x50x43cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Hanson Ξύλινο Γκρι 1τμχ Μ110xΠ60xΥ45εκ.,https://c.scdn.gr/images/sku_main_images/014078/14078559/fixedratio_20200713135656_trapezaki_saloniou_hanson_orthogonio_gri_em755_3.jpeg,small_table
Ορθογώνιο Βοηθητικό Τραπεζάκι Muju Ξύλινο Ανθρακί 1τμχ Μ30xΠ40xΥ57εκ.,https://b.scdn.gr/images/sku_main_images/038911/38911334/fixedratio_20221024131932_orthogonio_voithitiko_trapezaki_alonso_xylino_anthraki_gp037_0032_2_m30xp40xy57ek.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι από Μασίφ Ξύλο Natural 1τμχ Μ44xΠ44xΥ46εκ.,https://c.scdn.gr/images/sku_main_images/033445/33445872/fixedratio_20220603094721_strogylo_voithitiko_trapezaki_apo_masif_xylo_natural_3_50_803_0008_m44xp44xy46ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Limnos Ξύλινο με Σερβιτόρο Φυσικό 1τμχ Μ80xΠ50xΥ39εκ.,https://d.scdn.gr/images/sku_main_images/022401/22401467/fixedratio_20200317153733_trapezaki_saloniou_limnos_orthogonio_14410035.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Fuego από Μασίφ Ξύλο Φυσικό 1τμχ Μ35xΠ35xΥ40εκ.,https://a.scdn.gr/images/sku_main_images/014559/14559735/fixedratio_20200220171039_voithitiko_trapezaki_fuego_strogylo_fysiko_ea7059_2.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Home Ξύλινο Καστανιά 1τμχ Μ100xΠ50xΥ42.5εκ.,https://b.scdn.gr/images/sku_main_images/023516/23516244/fixedratio_20200605140954_trapezaki_saloniou_home_orthogonio_271_00_023.jpeg,small_table
Οβάλ Βοηθητικό Τραπεζάκι Fine Ξύλινο Φυσικό 1τμχ Μ35xΠ30xΥ30εκ.,https://b.scdn.gr/images/sku_main_images/010653/10653617/fixedratio_20220622092140_oval_voithitiko_trapezaki_fine_xylino_e7744_1_m35xp30xy30ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού από Μασίφ Ξύλο Καρυδί 1τμχ Μ100xΠ45xΥ45εκ.,https://b.scdn.gr/images/sku_main_images/017441/17441852/fixedratio_20211214113331_trapezaki_saloniou_orthogonio_karydi_hm8486.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Σετ 2τμχ από Μασίφ Ξύλο Μαύρο 2τμχ Μ47xΠ47xΥ42εκ.,https://d.scdn.gr/images/sku_main_images/013340/13340402/fixedratio_20220601113742_strogylo_voithitiko_trapezaki_set_2tmch_apo_masif_xylo_3_50_013_0005_m47xp47xy42ek.jpeg,small_table
Ορθογώνιο Βοηθητικό Τραπεζάκι Zane Ξύλινο Ανθρακί 1τμχ Μ40xΠ30xΥ50εκ.,https://b.scdn.gr/images/sku_main_images/025485/25485595/fixedratio_20220111104406_voithitiko_trapezaki_zane_orthogonio_anthraki_120_000013_40x30x50cm.jpeg,small_table
Ορθογώνιο Βοηθητικό Τραπεζάκι Ξύλινο Καρυδί 1τμχ Μ48xΠ35xΥ65εκ.,https://a.scdn.gr/images/sku_main_images/023276/23276072/fixedratio_20220210091728_orthogonio_voithitiko_trapezaki_lnt51x_m48xp35xy65ek.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Ξύλινο Καρυδί 1τμχ Μ50xΠ50xΥ57εκ.,https://a.scdn.gr/images/sku_main_images/023789/23789760/fixedratio_20220210094441_strogylo_voithitiko_trapezaki_xylino_let57x_m50xp50xy57ek.jpeg,small_table
Οβάλ Τραπεζάκι Σαλονιού Fine Ξύλινο Φυσικό 1τμχ Μ98xΠ60xΥ38εκ.,https://d.scdn.gr/images/sku_main_images/010653/10653221/fixedratio_20161219115520_fine_e7743_4_98cm_60cm_38cm.jpeg,small_table
